CartoSanté; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par bassin de vie; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des bénéf. ophtalmo. dans pop. 2024;APL Médecins généralistes 2023;Densité d'orthophonistes lib. 2024;Densité de généralistes lib. 2024;Densité d'infirmiers lib. 2024;Densité de sages-femmes lib. 2024;Part des bénéf. en ALD dans la pop 2024;Densité des pharmacies pour 10 000 hab. 2024
11304;Quillan;23.2;2.7;42.2;7;31.7;2.8;24.2;5.6
11379;Sigean;34.7;3.3;16.4;9;27.8;1.6;21.1;4.1
11397;Trèbes;23.4;4.1;0;9.4;20;2.3;N/A - secret statistique;3.5
12052;Capdenac-Gare;30.9;2.6;24.8;3.7;24.8;0;20.2;2.5
12056;Baraqueville;30.5;3;39.7;6.6;30.4;0;15.8;2.6
12089;Decazeville;32.4;3.5;10.3;7.2;22.7;0;23;4.6
12096;Espalion;28.2;3.8;41.4;10.6;37.8;2.3;21.5;4.7
12119;Laguiole;27.7;3.9;18;9.9;24.4;1.8;N/A - secret statistique;6.3
12120;Laissac-Sévérac l'Église;28.9;3.7;73.4;9.2;16.5;3.6;19.3;3.7
12133;Luc-la-Primaube;29.4;3.7;23.8;9.1;24.3;2.9;18.6;3.3
12138;Marcillac-Vallon;28.8;3.3;31;8.5;14.7;3.1;18.1;2.3
12145;Millau;30.8;3.6;58.6;9.4;25.5;4.1;19.3;3.6
12148;Montbazens;31.4;3.7;35.9;10.8;44.9;0;19;3.6
12169;Naucelle;31.9;4.3;43.4;17.3;41.2;4.2;22.4;4.3
12197;Réquista;25.9;2.5;0;6.7;34.4;1.9;21.8;4.8
12198;Rieupeyroux;31.6;2.9;36.3;5.4;54.5;0;23.8;3.6
12199;Rignac;28.9;3.5;24.6;7.4;34.4;4.9;15.9;4.9
12202;Rodez;29.7;3.9;30.3;7.1;23.2;3.8;19.6;3.6
12208;Saint-Affrique;20.5;2.6;22.6;6.8;29.9;3.6;N/A - secret statistique;4.5
12224;Saint Geniez d'Olt et d'Aubrac;28.9;3.1;0;5;20;0;22.1;5
12270;Sévérac d'Aveyron;31.9;2.8;39.1;7.8;27.4;3.9;21.3;3.9
12300;Villefranche-de-Rouergue;30.2;3.2;20.3;6.4;29.1;2;19.4;2.7
13001;Aix-en-Provence;28.7;4.5;54.3;11.3;19.1;3.2;16.1;3.1
13004;Arles;30;4.3;20.9;9.8;28;2;19.9;4.4
13022;Cassis;37.8;5.1;46.5;12.9;32;2.9;19.8;4.1
13035;Eyguières;37.9;3.1;57.8;10.1;21.7;0;17;2.9
13037;La Fare-les-Oliviers;25.5;4.4;44.7;6.7;90.5;0;16.1;2.2
13047;Istres;35.3;2.9;20.1;6.5;19.6;2.3;18.4;3
13050;Lambesc;31.1;4.3;39.1;11.7;16.6;0.9;16.4;2.9
13051;Lançon-Provence;31.6;4.5;51.9;11.4;21.8;2;16.4;2.1
13053;Mallemort;33.1;3.7;35.4;7.7;15.3;4.7;17.1;2.9
13054;Marignane;28;4.6;27.8;10.1;22.3;1.7;19.6;3.1
13055;Marseille;27;5;55;11.2;30.4;2.8;N/A - secret statistique;3.9
13056;Martigues;34.8;3.6;18.3;7.5;42.4;1.6;21;3.7
13063;Miramas;31.3;3.3;27.6;7.7;36.5;0.5;16.4;2.8
13074;Peyrolles-en-Provence;31;3.5;53.4;11.6;18.7;0;16.6;2.7
13078;Port-Saint-Louis-du-Rhône;28.6;3.9;23.5;3.5;34.1;2.3;21.3;2.4
13080;Le Puy-Sainte-Réparade;33.4;3.7;32.5;6.5;87.7;3.2;18.8;3.2
13084;La Roque-d'Anthéron;30.8;3.4;77.5;9;30.4;3.7;20;2.6
13088;Le Rove;31.4;5.2;45.5;5.5;18.2;3.5;18.5;2.7
13096;Saintes-Maries-de-la-Mer;33.1;7.6;0;21.9;21.9;0;26.5;4.4
13097;Saint-Martin-de-Crau;35;4.1;37.8;10.5;20.6;4.1;18.9;2.5
13100;Saint-Rémy-de-Provence;37;4.2;39.7;14.9;32.7;3.7;19.4;4
13103;Salon-de-Provence;32.1;4.3;54.7;7.4;19.3;4.1;17.1;2.9
13104;Sausset-les-Pins;42.9;3.3;45.2;18.1;30.1;2.9;22.6;3
13105;Sénas;33.4;5;33.7;11.2;33.7;2.2;18.4;3.4
14020;Argences;30.7;3.1;26.8;8.7;8;2.6;16.3;2
14027;Les Monts d'Aunay;33;3.2;0;9.1;10.4;0;N/A - secret statistique;2.6
14047;Bayeux;30.7;3.5;36.9;7.8;14.8;1.9;20.9;2.5
14118;Caen;29;5.5;48.3;10.9;10.2;2.5;16.3;2.9
14174;Condé-en-Normandie;28.1;3.5;6.8;11.6;11.6;1.4;20.8;3.4
14191;Courseulles-sur-Mer;34.3;3.8;17.9;9.5;17.3;0;21.9;3
14225;Dives-sur-Mer;31.6;3.6;23.4;8.4;17.8;4.4;24.4;3.3
14228;Douvres-la-Délivrande;35.3;4.2;36.8;9.2;12.9;0.9;18.7;3.2
14257;Évrecy;34.2;3;66.1;9.9;9.9;4.4;13.3;2.2
14258;Falaise;24.2;3.9;21.6;7.4;11.1;1.8;17.3;2.2
14333;Honfleur;32.2;3.5;27.4;7.7;12.1;1;19.7;2.7
14342;Isigny-sur-Mer;27;3.1;28.4;12.8;17;0;23.5;4.3
14366;Lisieux;30.6;2.8;22.4;3.6;12.3;2.6;18.1;3.1
14371;Livarot-Pays-d'Auge;28.1;1.9;0;4.7;12.6;0;18.1;3.2
14431;Mézidon Vallée d'Auge;23.6;2.8;17.2;6;12;3.4;16.1;3.4
14478;Orbec;28.4;2.1;0;6.7;10;3.3;18.6;3.3
14488;Ouistreham;35.9;3.5;49.5;9.9;13;3.5;22.7;3.1
14514;Pont-l'Évêque;31.5;3.3;21;9.8;16.1;1.3;N/A - secret statistique;2.1
14654;Saint-Pierre-en-Auge;24.8;3;50.2;4;11;2;19.3;2
14689;Thury-Harcourt-le-Hom;30.2;2.8;21.4;7.8;10;1.4;15.8;2.9
14712;Troarn;31.3;5.2;67.7;6.8;8.1;0;18.6;2.7
14715;Trouville-sur-Mer;35.8;4.3;23.8;12.8;17.6;1.7;24.8;4.8
14752;Villers-Bocage;33.3;3.5;43.9;8.8;15.4;2.2;16.1;2.7
14762;Vire Normandie;29.4;3.1;15.2;5.3;13.7;1.5;19.7;2.8
15014;Aurillac;24.3;4.2;12.7;9.6;18.3;1.6;22.1;4.1
15119;Massiac;28.4;2;0;6.3;18.8;0;21.4;6.3
15120;Mauriac;27;4.1;7.3;9.4;31.9;0;24.8;5.8
15122;Maurs;26.6;2.6;11;7.7;25.4;2.2;21.2;3.3
15138;Murat;25.8;3;12.8;10.2;42.2;2.5;21.6;5.1
15162;Riom-ès-Montagnes;27.2;2.5;12.3;8.6;16;0;24.1;6.2
15187;Saint-Flour;26.9;3.6;14;7.9;17.2;0.9;19.9;4.2
15258;Vic-sur-Cère;23.8;5.2;24.5;14.7;24.5;4.9;22;7.4
16015;Angoulême;20.3;3.3;21.8;5.7;11.5;1.5;18;3.3
16028;Barbezieux-Saint-Hilaire;24.7;2.6;14.7;5.9;11.8;1;19.8;2.9
16070;Chabanais;20.4;2.9;0;4.5;14.4;0;22.4;2.7
16073;Chalais;23.9;2.4;9;9;21.6;0;20.6;3.6
16078;Champniers;22.1;3.5;24.1;5.8;9.7;2;15.7;2.9
16085;Chasseneuil-sur-Bonnieure;22.8;2.7;27.8;8.3;23.1;3.6;19.4;3.7
16090;Châteauneuf-sur-Charente;21.3;2.1;0;6.7;17.2;3.8;17.6;2.9
16102;Cognac;32.2;3.7;24.9;5.9;10.9;1.3;17.5;3.8
16106;Confolens;16;3.5;9;6.3;16.3;1.8;21.6;4.5
16167;Jarnac;27;3.2;17.4;5.7;13.1;2.6;17.5;3.1
16206;Mansle-les-Fontaines;20.2;3.9;30.9;9.3;14.7;0;N/A - secret statistique;3.1
16281;La Rochefoucauld-en-Angoumois;25.6;3.2;4.5;8.6;15.8;1.8;19.7;3.2
16292;Ruffec;16.9;3.1;19.5;5.8;20.1;1.3;22;4.5
16366;Segonzac;25.6;2.6;20.1;8;12.1;4;17.1;4
17003;Aigrefeuille-d'Aunis;33.9;3.6;40.6;7.7;12.2;1.6;15.5;1.6
17024;Aulnay;32.2;2.3;0;5.5;12.9;0;22.2;3.7
17093;Le Château-d'Oléron;32.3;3.6;45.6;7.6;25.9;2.9;19.5;6.1
17131;Cozes;34.3;2.8;14.9;6.7;11.9;1.5;22;2.2
17140;Dolus-d'Oléron;35.1;4.5;0;15.7;25.1;0;21.7;3.1
17161;La Flotte;35.6;4.6;27.9;12.9;21.8;1.1;21;5
17168;Fouras;38.8;3.6;45.4;10.6;22.7;0;21.1;3
17172;Gémozac;33.4;3.7;12.6;10.1;12.6;0;20.4;2.5
17197;Jonzac;26.6;3.4;17.8;9.8;15.2;0;N/A - secret statistique;3.1
17218;Marans;34.4;3.1;16.6;11;12.7;1.1;18.5;3.3
17219;Marennes-Hiers-Brouage;31.8;3.7;8.5;8.5;17;1.6;20.7;3.4
17224;Matha;31.4;2.9;8.5;6;17;1.7;20.1;2.6
17236;Mirambeau;22.5;3.1;0;4.6;11.5;0;21.3;2.3
17240;Montendre;25.7;3.2;9.8;7.8;16.7;0;21.6;2
17241;Montguyon;29.6;2.9;26.1;7.8;12.2;3.5;21;3.5
17283;Pons;33.2;3.6;8.8;11.5;17.7;5.2;19.2;3.5
17299;Rochefort;33.6;3.9;32.4;9.6;17.6;2;18.5;3.1
17300;La Rochelle;34.8;5.6;48.3;13.5;13.8;3;19;3
17306;Royan;41.5;3.8;25.3;11.2;20.9;2.3;27.9;4.2
17347;Saint-Jean-d'Angély;34.7;3.1;4.6;6.5;15.3;1.8;20.6;3.7
17385;Saint-Pierre-d'Oléron;34.5;3.5;23.5;7.1;24.3;3;24.7;3.9
17397;Saint-Savinien;33.3;3.9;58.1;14.5;14.5;0;20.4;2.9
17415;Saintes;34.7;4.4;26.5;10.5;18;2.4;18.6;3.2
17421;Saujon;32.8;3.4;24.9;9;17.5;1.9;21.5;2.5
17434;Surgères;31.5;3.7;17.6;8.5;13.8;2.5;17.9;3
17452;La Tremblade;34.1;2.7;33.3;7.3;13.3;2.5;23.1;4
18015;Aubigny-sur-Nère;27.6;2.5;0;4.7;12.2;0;20.7;4.1
18033;Bourges;24.3;2.7;20.8;7.2;10.3;1.5;N/A - secret statistique;3
18057;Châteaumeillant;23;2;16;3.2;17.6;0;22.5;4.8
18087;Dun-sur-Auron;21;1.2;0;1.4;8.4;2.7;18.8;2.8
18108;La Guerche-sur-l'Aubois;21.5;2;12.2;2.4;14.7;2.4;N/A - secret statistique;2.4
18109;Henrichemont-Menetou-Salon;22.6;1.8;21.9;2.2;19.7;0;19.4;6.6
18127;Lignières;24.1;1.1;0;2.5;12.3;0;22.3;4.9
18141;Mehun-sur-Yèvre;24.7;2.3;6.7;6;11.4;3.9;18.5;3.3
18197;Saint-Amand-Montrond;22.3;1.9;3.2;3.8;10.5;0;N/A - secret statistique;3.8
18207;Saint-Florent-sur-Cher;26.4;2;8.1;4;16.1;0;19.1;2.4
18223;Saint-Martin-d'Auxigny;24.6;1.9;0;4;15.8;3.9;15.2;2
18242;Sancoins;19.7;2.2;0;4.7;14;4.6;24;3.5
18279;Vierzon;17.6;1.8;11.5;3.9;11.7;0.9;20.7;3.9
19010;Argentat-sur-Dordogne;28.2;4.6;29.8;11.9;34.8;0;N/A - secret statistique;6
19028;Bort-les-Orgues;23.8;3.2;0;6.4;28.9;0;22.8;5.6
19031;Brive-la-Gaillarde;27.2;3.3;27.8;6.8;25.2;1.9;17.6;3.6
19073;Égletons;20.9;7.5;10;9;17;2.1;17.7;2
19121;Lubersac;20.3;3.2;13.7;9.6;27.4;0;25;4.1
19138;Meyssac;26;3.6;15.2;7.6;22.9;5.9;19.9;4.6
19153;Objat;26;2.9;7.9;7.1;26.1;1.6;20.4;4
19255;Seilhac;28.4;2.9;26.4;9.3;25.1;0;20.2;4
19272;Tulle;25.7;2.8;23;5.5;21;1.1;N/A - secret statistique;3.7
19275;Ussel;18.9;2.3;14;4.9;24.4;0.7;20.2;4.2
19276;Uzerche;21.6;2.5;31.3;5.2;30.3;4.3;18.2;4.2
21023;Arnay-le-Duc;30.5;4.3;0;8.3;24.9;0;19.3;2.1
21038;Auxonne;25.6;2.4;4.5;3.6;9.9;4.5;16.9;2.7
21054;Beaune;30.6;4.4;27.4;11.2;14.2;2.2;17.5;3.4
21154;Châtillon-sur-Seine;26.4;2.5;11.3;4.5;12.4;1.1;21.2;4
21231;Dijon;30.6;4.6;31.5;10.7;8.1;2.5;15.4;3
21292;Genlis;30.4;3.3;14.7;7.8;10;2;15.7;2.2
21317;Is-sur-Tille;32.4;3.3;32.2;7.7;10.3;1.9;17.8;2.9
21416;Mirebeau-sur-Bèze;32.6;3;0;11.8;14.7;5.7;17.7;2.9
21425;Montbard;24.9;3.5;10.3;11.3;11.3;2;21.8;4.1
21464;Nuits-Saint-Georges;32.8;3.4;41.3;9.6;12.4;1.3;16.5;2.1
21501;Pouilly-en-Auxois;28.4;3.2;60.5;9.7;21.8;0;18;3.6
21584;Saulieu;26.2;2.5;20.6;5.1;20.6;0;N/A - secret statistique;3.1
21603;Semur-en-Auxois;24.2;3.3;8.2;7.4;15.7;0;18.6;3.3
21607;Seurre;28.7;2.8;0;8.5;10.6;2.1;19.8;3.2
21663;Venarey-les-Laumes;26.2;2.2;0;3.5;13.9;2.3;19;3.5
22004;Bégard;28.9;3.3;21.1;7.4;19;2.1;18.8;4.2
22020;Broons;32.7;3.5;42.2;9.1;9.1;0;18.1;2.8
22025;Callac;19.3;2.9;17.9;5.4;25.1;0;23.2;1.8
22050;Dinan;30.8;3.7;36.6;7.7;14.5;2;16.7;2.3
22054;Erquy;37;3.4;34.7;11.6;25.4;4.4;23.7;4.6
22055;Binic-Étables-sur-Mer;33.5;3.2;26.6;6.7;19.3;0;21.8;2.7
22070;Guingamp;26.4;2.9;18.8;5.1;16.3;2.1;18.5;2.7
