annee,code_insee,commune,is_thierache_centre,apl_generalistes,apl_generalistes_moins65,pop_standardisee,pop_totale
2023,39175,Coyron,False,6.078,6.078,73.964,70
2023,39176,Cramans,False,5.506,5.506,532.277,524
2023,39177,Hauteroche,False,1.797,1.588,1001.863,976
2023,39178,Crans,False,2.964,2.383,84.006,82
2023,39179,Crenans,False,4.456,4.456,242.077,233
2023,39180,Cressia,False,0.814,0.814,270.64,258
2023,39182,Crissey,False,3.712,3.341,697.712,682
2023,39183,Crotenay,False,2.529,2.175,641.613,629
2023,39184,Les Crozets,False,2.489,2.139,207.358,190
2023,39185,Cuisia,False,2.138,1.55,419.186,389
2023,39187,Cuvier,False,2.678,2.678,274.704,273
2023,39188,Dammartin-Marpain,False,3.981,3.693,327.887,346
2023,39189,Damparis,False,4.048,3.8,2648.568,2603
2023,39190,Dampierre,False,5.198,4.836,1305.952,1319
2023,39191,Darbonnay,False,4.204,3.952,84.381,79
2023,39192,Denezières,False,2.756,2.756,86.015,73
2023,39193,Le Deschaux,False,3.04,2.833,989.745,1014
2023,39194,Desnes,False,4.6,4.29,500.917,485
2023,39196,Les Deux-Fays,False,0.985,0.88,131.056,123
2023,39197,Digna,False,2.231,1.377,392.322,364
2023,39198,Dole,False,4.954,4.639,24978.71,23775
2023,39199,Domblans,False,4.638,4.353,1242.445,1207
2023,39200,Dompierre-sur-Mont,False,3.665,3.607,214.489,210
2023,39201,Doucier,False,2.318,2.318,282.539,280
2023,39202,Dournon,False,2.73,2.73,127.491,140
2023,39203,Doye,False,3.128,2.951,102.672,106
2023,39204,Dramelay,False,2.873,2.873,28.471,27
2023,39205,Éclans-Nenon,False,3.654,3.525,365.358,376
2023,39206,Écleux,False,5.668,5.668,229.447,220
2023,39207,Écrille,False,4.31,4.31,81.295,85
2023,39208,Entre-deux-Monts,False,3.468,2.785,149.534,155
2023,39209,Val-d'Épy,False,1.557,1.097,324.669,310
2023,39210,Équevillon,False,3.996,3.466,639.338,576
2023,39211,Les Essards-Taignevaux,False,1.967,1.914,257.44,246
2023,39214,Esserval-Tartre,False,2.95,2.95,117.387,123
2023,39216,Étival,False,2.865,2.69,306.347,307
