CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
1918;Uzerche;2.9
1919;L'Yssandonnais;2.3
19255;Seilhac;2.9
19272;Tulle;2.8
19275;Ussel;2.3
19276;Uzerche;2.5
1999;Brive-la-Gaillarde;3.3
2101;Arnay-le-Duc;1.9
2102;Auxonne;3
21023;Arnay-le-Duc;4.3
21038;Auxonne;2.4
21054;Beaune;4.4
2106;Chenôve;5.6
2107;Chevigny-Saint-Sauveur;5.2
2113;Dijon-6;2.4
2114;Fontaine-lès-Dijon;3.9
21154;Châtillon-sur-Seine;2.5
2116;Is-sur-Tille;3.6
2118;Longvic;5.2
2119;Montbard;1.8
2120;Nuits-Saint-Georges;3.5
2121;Saint-Apollinaire;5
2122;Semur-en-Auxois;1.6
2123;Talant;3.4
21292;Genlis;3.3
21317;Is-sur-Tille;3.3
21416;Mirebeau-sur-Bèze;3
21425;Montbard;3.5
21464;Nuits-Saint-Georges;3.4
21501;Pouilly-en-Auxois;3.2
21584;Saulieu;2.5
21603;Semur-en-Auxois;3.3
21607;Seurre;2.8
21663;Venarey-les-Laumes;2.2
2199;Dijon;4.5
22004;Bégard;3.3
2201;Bégard;3.3
22020;Broons;3.5
22025;Callac;2.9
22050;Dinan;3.7
22054;Erquy;3.4
22055;Binic-Étables-sur-Mer;3.2
2206;Lamballe-Armor;4.5
2207;Lannion;4.4
22070;Guingamp;2.9
22093;Lamballe-Armor;2.9
2212;Perros-Guirec;3.3
22121;Lanvollon;2.9
2213;Plaintel;1.9
22136;Loudéac;2.6
2214;Plancoët;3
22143;Matignon;2.9
22147;Merdrignac;3
2215;Plélo;3.4
22162;Paimpol;3.5
22172;Plancoët;3
2218;Plérin;3.8
22186;Pléneuf-Val-André;3.1
2219;Pleslin-Trigavou;4.3
22194;Plestin-les-Grèves;3
2220;Plestin-les-Grèves;2.6
22203;Plœuc-L'Hermitage;1.4
22206;Châtelaudren-Plouagat;2.8
2221;Ploufragan;2.8
22222;Plouha;3
2226;Trégueux;4.3
22262;Quintin;2.2
22266;Rostrenen;3.1
2227;Tréguier;3.8
22362;Tréguier;3.5
2299;Saint-Brieuc;3.5
23008;Aubusson;3.6
23013;Auzances;2.5
