Insee - Statistiques locales; ; 
Référentiel géographique : France par bassin de vie; ; 
Code;Libellé;Taux de pauvreté 2021
49261;Gennes-Val-de-Loire;11.7
49283;Saint-Georges-sur-Loire;5.5
49301;Sèvremoine;6.8
49307;Loire-Authion;5.6
49328;Saumur;14.6
49331;Segré-en-Anjou Bleu;11.3
49333;Seiches-sur-le-Loir;8.5
49345;Bellevigne-en-Layon;7.7
49347;Tiercé;6.7
49373;Lys-Haut-Layon;11.1
50003;Agon-Coutainville;9.9
50025;Avranches;10.2
50031;Barneville-Carteret;11.2
50074;Brécey;15.3
50076;Bréhal;10.5
50082;Bricquebec-en-Cotentin;9.2
50099;Carentan-les-Marais;13.3
50129;Cherbourg-en-Cotentin;11.6
50147;Coutances;13.3
50218;Granville;9.9
50236;La Haye;12.7
50341;Montebourg;11.5
50359;Mortain-Bocage;15.4
50394;Périers;14.1
