code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
56165;285;10.6;10.3;22680.0;19.7;25.5;13.0;16.9;2.15;26.3;4.6;0.2;82.5;13.0;86.3;73.1;32.7;3.5;39.4;6.7;15.4;2.3;17.6;2.8;Ploërmel
56166;272;11.2;12.4;21680.0;19.1;26.8;12.3;17.0;2.16;19.3;3.0;0.2;81.8;7.5;91.7;46.5;25.8;3.2;38.3;7.7;21.5;1.0;20.1;3.4;Plouay
56169;89;14.1;9.3;24270.0;16.1;26.4;11.5;11.7;2.01;21.7;9.5;0.0;63.2;7.9;85.7;160.9;30.8;3.6;33.2;8.3;26.5;0.0;21.9;5.0;Plouhinec
56177;136;8.5;8.3;22760.0;12.9;32.2;9.7;20.2;2.35;19.8;3.1;0.3;88.6;8.6;90.9;115.7;28.0;3.3;35.3;8.5;26.1;4.2;16.1;2.1;Pluvigner
56178;474;11.6;12.5;22210.0;19.7;30.0;13.5;16.7;2.09;28.4;6.2;0.6;83.1;20.1;79.2;71.1;31.6;2.9;22.0;6.0;16.8;2.2;18.3;2.7;Pontivy
56184;242;10.5;11.0;22250.0;19.9;27.3;12.5;17.5;2.18;23.5;3.4;0.2;81.6;7.5;91.8;74.4;28.2;3.6;45.9;11.0;17.0;2.7;19.6;3.2;Questembert
56186;136;21.4;9.6;24660.0;15.2;23.8;7.9;8.8;1.82;25.1;9.3;0.2;30.2;38.2;61.2;347.7;35.4;3.2;40.4;9.4;35.0;2.5;26.4;5.4;Quiberon
56193;208;15.3;9.9;23410.0;17.3;13.0;15.7;13.4;1.97;25.4;7.7;0.0;80.0;19.3;79.9;669.4;28.7;2.9;47.9;12.0;20.0;3.0;20.1;3.2;Riantec
56240;284;20.3;8.2;26780.0;15.5;20.8;10.1;9.0;1.87;22.3;5.3;0.1;33.0;21.6;77.0;150.1;45.1;3.6;32.7;7.2;29.5;0.0;27.1;3.3;Sarzeau
56251;137;8.4;7.1;24790.0;11.7;29.8;10.1;18.0;2.27;25.6;8.7;0.2;89.0;12.5;86.8;138.9;32.3;5.1;37.1;11.7;20.4;3.6;20.9;1.9;Theix-Noyalo
56260;1035;12.3;12.0;24330.0;13.0;16.3;16.6;14.4;1.9;45.8;15.5;0.3;85.7;54.0;45.3;520.5;31.4;5.5;63.5;14.5;19.8;4.0;21.6;3.0;Vannes
57019;668;9.8;15.5;22420.0;21.9;33.7;16.6;16.3;2.17;40.6;16.0;0.5;91.4;48.1;51.2;569.4;26.5;4.5;35.5;9.1;14.7;3.0;20.1;2.3;Amnéville
57089;238;10.6;12.7;22470.0;25.5;25.0;10.9;13.9;2.18;20.3;2.3;0.0;83.3;19.2;80.1;52.6;29.6;2.2;24.8;4.0;21.3;1.0;21.8;3.5;Bitche
57097;141;8.7;11.2;23590.0;19.6;22.1;13.0;18.0;2.32;27.2;5.5;0.0;91.4;26.6;73.1;72.8;32.4;3.4;23.6;7.1;18.1;3.1;;1.6;Boulay-Moselle
57106;202;7.6;14.2;23190.0;20.7;28.0;11.2;18.0;2.4;17.8;1.4;0.5;87.1;16.9;82.8;69.1;36.3;2.4;36.3;4.7;15.6;3.1;16.7;1.6;Bouzonville
57132;158;10.6;10.7;22750.0;22.4;19.3;12.0;17.7;2.23;25.4;1.9;0.7;86.1;19.5;80.0;29.5;24.2;4.2;30.5;13.2;20.3;2.0;20.0;3.0;Château-Salins
57160;404;10.1;16.1;21830.0;24.0;28.6;14.4;15.5;2.17;30.7;11.0;0.1;89.7;32.6;67.1;288.2;27.4;3.4;16.0;5.7;21.7;1.2;18.1;2.6;Creutzwald
57177;135;12.3;15.0;21310.0;25.1;25.5;15.0;15.6;2.1;27.9;4.0;0.1;83.1;25.2;74.0;25.3;24.8;3.1;20.6;7.2;18.5;4.0;23.3;4.1;Dieuze
57207;190;9.2;18.3;21010.0;25.9;30.7;12.9;16.9;2.35;33.9;16.5;0.3;90.8;37.9;61.6;224.9;28.8;3.3;18.7;3.1;26.1;0.0;18.5;2.5;Farébersviller
57209;154;9.1;12.7;22340.0;23.9;36.8;16.3;16.8;2.28;28.6;10.5;0.3;91.6;24.4;74.8;97.6;23.8;3.0;13.0;3.9;18.8;3.8;17.5;1.9;Faulquemont
57227;735;9.9;24.2;19610.0;29.1;25.0;17.8;16.7;2.21;43.8;19.3;1.0;87.3;55.0;44.3;762.5;28.8;3.3;16.5;4.5;22.2;1.6;17.0;2.6;Forbach
57240;354;11.6;22.3;19590.0;30.6;20.1;17.8;17.4;2.21;44.7;24.1;0.4;86.6;48.2;50.2;629.5;25.6;4.6;7.7;2.7;23.1;1.5;18.0;3.1;Freyming-Merlebach
57269;155;8.8;10.3;26160.0;16.6;28.2;12.7;18.4;2.34;23.9;10.9;0.2;95.0;25.8;74.0;473.0;27.7;5.2;22.0;5.5;11.0;3.2;18.1;2.2;Guénange
57323;127;6.3;9.3;34150.0;12.3;15.4;11.7;18.3;2.24;24.4;2.9;0.1;92.2;35.2;64.6;170.5;17.6;2.3;32.8;6.0;4.4;2.2;13.2;1.6;Hettange-Grande
57413;57;9.0;10.3;23480.0;16.2;28.6;12.0;16.2;2.18;24.2;1.1;0.0;90.4;24.1;75.1;103.5;24.9;3.7;61.6;3.1;18.5;0.0;17.5;0.0;Longeville-lès-Saint-Avold
57443;110;9.3;10.0;25150.0;19.4;25.7;11.9;18.4;2.39;23.2;11.8;0.1;94.8;22.4;77.1;359.8;26.3;4.0;46.7;7.5;8.4;0.0;17.9;1.9;Marange-Silvange
57463;2687;8.6;16.5;23620.0;17.7;17.8;17.5;16.0;2.06;48.7;17.8;0.5;89.7;62.3;36.5;331.8;25.3;4.6;39.0;9.3;13.3;2.7;;2.5;Metz
57483;185;9.6;15.6;21390.0;25.6;35.8;13.9;17.2;2.29;25.1;2.7;0.1;87.2;21.5;78.1;37.9;22.0;2.4;26.0;5.8;24.7;3.9;20.8;3.2;Morhange
