code;libelle;apl_generaliste;taux_pauvrete
31499;Saint-Lys;3.0;8.4
31523;Salies-du-Salat;3.0;15.6
31573;Verfeil;3.3;6.0
31574;Vernet;4.6;7.1
31582;Villefranche-de-Lauragais;4.8;7.5
31584;Villemur-sur-Tarn;2.7;12.0
32013;Auch;3.4;14.1
32096;Cazaubon;2.2;19.8
32107;Condom;3.5;18.9
32119;Eauze;3.8;19.6
32132;Fleurance;3.9;15.1
32147;Gimont;3.5;12.7
32160;L'Isle-Jourdain;2.7;8.5
32208;Lectoure;4.5;16.4
32233;Marciac;2.6;19.6
32242;Masseube;4.1;17.5
32249;Mauvezin;3.1;14.1
32256;Mirande;3.3;17.3
32296;Nogaro;3.4;18.9
32319;Plaisance;2.7;19.9
32344;Riscle;2.5;15.1
32410;Samatan;5.1;11.9
32462;Vic-Fezensac;3.0;17.3
33005;Andernos-les-Bains;4.8;7.5
33011;Arès;5.3;7.7
33036;Bazas;4.0;15.2
33042;Belin-Béliet;3.7;8.2
33051;Biganos;4.3;7.3
33058;Blaye;3.1;17.5
33081;Cadillac-sur-Garonne;4.6;12.5
33104;Castelnau-de-Médoc;4.6;8.0
33108;Castillon-la-Bataille;3.2;19.7
33114;Cavignac;3.4;13.7
33138;Coutras;2.9;18.1
33140;Créon;3.3;9.0
33203;Hourtin;3.9;12.0
33213;La Brède;2.7;5.0
33214;Lacanau;5.8;10.7
33227;Langon;4.9;13.0
33236;Lège-Cap-Ferret;4.9;9.6
33240;Lesparre-Médoc;3.9;16.1
33314;Pauillac;3.9;13.4
33327;Podensac;3.8;7.8
33352;La Réole;3.4;20.7
33478;Saint-Seurin-sur-l'Isle;2.8;17.1
33498;Salles;3.0;6.1
33506;Sauveterre-de-Guyenne;3.5;17.4
33514;Soulac-sur-Mer;4.0;15.9
34003;Agde;3.6;21.9
34022;Baillargues;5.4;9.6
34028;Bédarieux;3.4;22.7
34031;Bessan;4.1;17.2
34052;Capestang;3.1;18.5
34058;Castries;3.8;7.1
34079;Clermont-l'Hérault;3.8;18.2
34111;Ganges;4.3;18.0
34114;Gignac;4.7;15.4
34126;Lamalou-les-Bains;4.1;21.1
34142;Lodève;2.7;24.2
34147;Magalas;3.1;14.9
34150;Marseillan;3.5;20.0
34154;Mauguio;4.8;10.7
34157;Mèze;3.1;16.2
34162;Montagnac;3.9;26.5
34189;Olonzac;2.6;23.9
34192;Palavas-les-Flots;4.5;16.2
34194;Paulhan;3.1;15.9
34199;Pézenas;3.9;19.5
34202;Pignan;4.0;11.5
34239;Saint-André-de-Sangonis;5.1;14.8
34245;Saint-Chinian;3.2;21.5
34276;Saint-Mathieu-de-Tréviers;3.8;8.4
34284;Saint-Pons-de-Thomières;3.8;29.5
34299;Sérignan;3.4;16.1
34300;Servian;3.9;15.7
34332;Vias;3.3;22.6
35006;Argentré-du-Plessis;3.3;6.5
35012;Bain-de-Bretagne;2.9;8.8
35037;Bréal-sous-Montfort;3.4;6.3
35068;Châteaubourg;3.6;5.0
35069;Châteaugiron;3.4;5.0
35085;Combourg;3.6;11.2
35095;Dol-de-Bretagne;3.3;10.2
35115;Fougères;2.3;11.2
35125;La Guerche-de-Bretagne;2.8;9.7
35126;Guichen;2.8;5.9
35136;Janzé;3.4;7.2
35152;Liffré;3.9;5.5
35162;Louvigné-du-Désert;1.8;14.5
35168;Val d'Anast;3.3;10.1
35176;Guipry-Messac;2.6;9.5
35177;La Mézière;3.9;5.9
35184;Montauban-de-Bretagne;4.3;7.7
35188;Montfort-sur-Meu;3.4;6.3
35196;Mordelles;4.0;7.6
35207;Noyal-sur-Vilaine;4.6;5.8
35219;Pipriac;2.4;10.5
35223;Plélan-le-Grand;2.9;9.4
35236;Redon;2.8;13.2
35239;Retiers;2.5;10.1
35240;Le Rheu;4.2;10.1
35251;Saint-Aubin-d'Aubigné;2.9;6.7
35253;Saint-Aubin-du-Cormier;3.4;6.2
35257;Maen Roch;3.3;11.2
35297;Saint-Méen-le-Grand;3.3;11.4
35337;Tinténiac;3.6;8.0
35352;Vern-sur-Seiche;4.6;7.7
35360;Vitré;3.0;8.6
36001;Aigurande;2.0;21.2
36006;Argenton-sur-Creuse;2.5;17.1
36018;Le Blanc;2.8;15.6
36031;Buzançais;2.3;12.9
36045;Châtillon-sur-Indre;3.7;15.5
36046;La Châtre;2.9;16.4
36088;Issoudun;2.2;13.1
36093;Levroux;2.0;11.1
36228;Valençay;2.3;14.3
37011;Avoine;4.9;10.4
37014;Azay-le-Rideau;3.9;7.6
37031;Bourgueil;4.1;13.4
37062;Château-la-Vallière;3.1;12.0
37063;Château-Renault;3.9;11.2
37072;Chinon;4.3;14.5
37104;Esvres;3.4;5.9
37115;Descartes;2.9;18.0
37119;L'Île-Bouchard;3.7;12.6
37123;Langeais;3.7;10.6
37130;Ligueil;3.4;11.9
37132;Loches;3.5;13.0
37159;Monts;3.3;5.5
37196;Richelieu;2.9;15.9
37226;Sainte-Maure-de-Touraine;3.3;12.2
38001;Les Abrets en Dauphiné;3.0;8.6
38006;Allevard;3.4;7.3
38013;Apprieu;3.4;6.7
38022;Les Avenières Veyrins-Thuellin;2.2;8.8
38034;Beaurepaire;2.2;13.1
38052;Le Bourg-d'Oisans;5.8;14.4
38085;Charvieu-Chavagneux;2.8;9.1
38130;La Côte-Saint-André;2.8;11.8
38138;Crémieu;2.6;6.3
38140;Crolles;3.5;5.7
38189;Heyrieux;2.6;5.2
38247;Montalieu-Vercieu;2.2;9.0
38269;La Mure;3.6;13.1
38314;Pontcharra;4.7;7.5
38315;Le Pont-de-Beauvoisin;2.7;9.2
38384;Saint-Étienne-de-Saint-Geoirs;3.2;10.0
38399;Saint-Jean-de-Bournay;2.6;7.6
38412;Saint-Laurent-du-Pont;3.8;9.1
38416;Saint-Marcellin;2.8;12.2
38511;Le Touvet;4.4;5.0
38517;Tullins;2.9;9.6
38545;Vif;2.0;5.5
38548;Villard-de-Lans;5.7;9.3
38557;Villette-d'Anthon;1.9;5.0
38559;Vinay;2.2;9.6
38562;Vizille;2.6;7.8
39013;Arbois;4.2;12.3
39056;Bletterans;4.1;9.8
39097;Champagnole;3.3;11.2
39128;Chaussin;2.5;11.4
39154;Clairvaux-les-Lacs;3.9;10.2
39300;Lons-le-Saunier;3.8;12.6
